DLR_DEALER_CODE_C,DLR_DEALER_SUBCD_C,UDBI03_PACKED_PART_C,PINVTY_QDATE_Y,PINVTY_PRT_QOH_A,UDBI03_PRT_STKING_F,UDBI03_LAST_SALE_Y,PRT_DEALER_COST_A
98060,PI   ,2S616C301DA,04-02-18,1,N,02/20/2018,16.47
90770,PI   ,AV6112A343CA,04-03-18,2,Y,08/21/2017,43
90343,PI   ,EB3C3084B1C,12-07-18,1,N,10/25/2018,79.63
90427,PI   ,W702413S307,12-07-18,11,N,11/14/2018,0.51
91123,PI   ,CV618005TB,12-07-18,1,Y,10/15/2018,240.46
90715,PI   ,MFG184,12-07-18,5,N,11-05-18,1
91064,PI   ,DN1518C815PG,12-07-18,1,Y,04/18/2017,123.27
91124,PI   ,2S6Z9601B,12-07-18,2,N,12-04-18,7.87
91065,PI   ,3F1A12A648AB,12-07-18,1,Y,12-03-18,28.14
90427,PI   ,WLY114302M1C,12-07-18,3,N,12-06-18,4.35
90770,PI   ,20230,04-03-18,1,N,02/23/2018,249.89
91106,PI   ,CV6Z1012C,12-07-18,3,N,09/18/2018,1.88
90416,PI   ,4M5G12405X1E,06/27/2017,72,N,06/26/2017,2.18
90148,PI   ,SENEC015,12-07-18,1,N,07/17/2018,50.78
90343,PI   ,EM5G6714AA,12-07-18,34,N,12-06-18,3.57
91098,PI   ,2N21F22400AA,12-07-18,1,N,10-05-18,2.07
90678,PI   ,WL8113Z40MC,06/30/2017,8,U,06/26/2017,8.1
90148,PI   ,BE8Z12286C,12-07-18,1,N,10/18/2018,7.31
91123,PI   ,97JM6730BA,12-07-18,4,N,12-07-18,2.74
90427,PI   ,CV611125GA,12-07-18,4,N,12-04-18,79.3
90715,PI   ,6M5G6K292BA,12-07-18,5,N,12-04-18,9.8
91123,PI   ,XS618100AB,12-07-18,1,Y,10/16/2018,8.88
90343,PI   ,WLVH15205A,12-07-18,1,N,11/30/2018,12.53
90678,PI   ,CV6Z1012C,06/30/2017,14,U,06/27/2017,2.56
90647,PI   ,F1AZ6731B1DMC         ,06/22/2017,2,U,05/15/2017,4.12
90678,PI   ,8V5J1K018AA,06/30/2017,1,U,06-09-17,45.51
91064,PI   ,EB3B28400CB,12-07-18,1,Y,05/22/2018,15.17
90715,PI   ,XS512261AA,12-07-18,2,N,10/31/2018,24.45
91123,PI   ,LF5013Z40AMC,12-07-18,2,Y,10-09-18,4.59
90343,PI   ,AB3918080BE,12-07-18,1,N,12-06-18,48.17
91064,PI   ,9M5Q6C855AA,12-07-18,1,N,11-05-18,1.76
90427,PI   ,W520103S442,12-07-18,2,N,11/19/2018,0.41
90257,PI   ,D1990117,04-03-18,1,N,11-01-17,11.27
90257,PI   ,8A6115K272AD,04-03-18,8,N,02-12-18,32.9
90427,PI   ,EB3B15A299AB,12-07-18,1,N,11/21/2018,3.71
90343,PI   ,AB3917528DC,12-07-18,10,N,12-04-18,6.69
90343,PI   ,AB3912B686AB,12-07-18,1,N,08/23/2018,112.91
91065,PI   ,EB3B17528DA,12-07-18,2,Y,08-01-18,8.46
90770,PI   ,AGSP22YE13,04-03-18,18,N,10/31/2017,9.45
98060,PI   ,H1BZ18A886A,04-02-18,1,Y,03/29/2018,8.42
91123,PI   ,W715264S300,12-07-18,14,Y,08/29/2018,0.75
90715,PI   ,6M5G6700BA,12-07-18,2,N,12-04-18,7.35
91123,PI   ,BM5T14529BA,12-07-18,1,Y,10-03-18,12.31
98060,PI   ,6N293B438AA,04-02-18,1,N,03/20/2018,25.02
90343,PI   ,BK3Q6019CB,12-07-18,1,N,11/21/2018,69.54
90639,PI   ,69AG13465CA,12-07-18,7,N,12-05-18,0.75
90343,PI   ,BK2Q9M577AA,12-07-18,48,N,11/23/2018,2.68
90427,PI   ,9M5Q9P431AA,12-07-18,4,N,02/27/2018,10.15
91124,PI   ,BK2Q6714BA,12-07-18,10,N,12-04-18,12.88
91065,PI   ,7M392B399AA,12-07-18,4,Y,09-05-18,1.11
91124,PI   ,AB396C301AB,12-07-18,2,Y,11/26/2018,36.39
90639,PI   ,AS6J17528DA,12-07-18,6,N,12-06-18,5.67
91064,PI   ,7U7JM2C938AB,12-07-18,7,N,12-07-18,16.8
90678,PI   ,98WT7288A2A,06/30/2017,3,U,08/23/2016,5.59
90427,PI   ,W527434S300,12-07-18,4,N,08-06-18,2.75
91098,PI   ,997008215,12-07-18,9,N,12-03-18,2.51
90639,PI   ,H2MZ1V125H,12-07-18,4,N,08/15/2018,17.02
90715,PI   ,5N217540AA,12-07-18,9,N,11/30/2018,104.89
98060,PI   ,5050112,04-02-18,88,N,03/29/2018,0.59
91098,PI   ,8V5118D543AA,12-07-18,1,N,12-04-18,6.92
90647,PI   ,2S6H8K218AF           ,06/22/2017,20,U,06/13/2017,20.6
91080,PI   ,F1AZ6731B1DMC,12-07-18,7,Y,06/14/2017,3.64
90678,PI   ,AS6917757BCXXAC,06/30/2017,2,U,06/14/2017,92.99
98060,PI   ,7G9N12405AA,04-02-18,3,Y,11/15/2017,9.92
90148,PI   ,98AG15052BD,12-07-18,1,N,11/15/2018,6.45
90343,PI   ,UH7134470,12-07-18,2,N,12-06-18,8.8
90770,PI   ,H1BG37521AB,04-03-18,1,N,03/16/2018,12.95
90678,PI   ,BK2119G244AA,06/30/2017,2,U,01/20/2017,14.36
91080,PI   ,W520415S440,12-07-18,1,Y,09/18/2017,3.3
90678,PI   ,6S6117A989AAXWAA,06/30/2017,1,U,05/29/2017,3.82
90639,PI   ,7S7G8591A2C,12-07-18,1,N,08-03-18,101.12
90427,PI   ,FD1990117,12-07-18,2,N,10/26/2018,8.28
91064,PI   ,EB3B16A262AC,12-07-18,4,Y,08-07-18,21.23
90647,PI   ,AFL71M1C,06/30/2017,1,U,06/30/2017,6.2
90647,PI   ,LF0116510             ,06/22/2017,1,U,03/18/2016,29.74
90639,PI   ,CJ5417528AD,12-07-18,2,N,11/27/2018,21.24
90639,PI   ,3S7Q6700AD,12-07-18,3,N,12-04-18,20.73
91065,PI   ,4M5G12405X9E,12-07-18,18,Y,11-05-18,4.58
90647,PI   ,WL8118601,06/23/2017,9,U,06/23/2017,10.73
90678,PI   ,CV2Q8A615AA,06/30/2017,1,U,06/27/2017,142.95
90770,PI   ,AB3917528BC,04-03-18,9,N,03/23/2018,4.87
90343,PI   ,E822113S76,12-07-18,6,N,11/28/2018,0.17
90678,PI   ,CYFS12YP,06/30/2017,4,U,05/23/2016,6.12
90427,PI   ,W712097S300,12-07-18,3,N,10/25/2018,0.72
90427,PI   ,4U7JM2C197BA,12-07-18,13,N,10-02-18,26.06
90343,PI   ,C0ST6TCRBMEC,12-07-18,1,N,11/26/2018,240.86
90427,PI   ,AB398B273DC,12-07-18,1,N,07/17/2018,18.51
90678,PI   ,WL5113111,06/30/2017,2,U,09/21/2016,3.53
90678,PI   ,BB3Q9S468FC,06/30/2017,1,U,06/15/2017,77.5
91080,PI   ,AB392123552AF,12-07-18,1,Y,02-12-18,72.82
90647,PI   ,AB3919849ACDFS        ,06/22/2017,5,U,06-08-17,31.99
91106,PI   ,PN1113H54,12-07-18,4,N,09/26/2018,2.85
90148,PI   ,CV611125GA,12-07-18,2,N,12-06-18,79.57
90148,PI   ,XS618100AB,12-07-18,2,N,12-04-18,8.69
90678,PI   ,DNY03328Z9MC,06/30/2017,1,U,06/15/2017,48.21
90770,PI   ,AB312L361AB,12-07-18,7,N,11/29/2018,74.63
91065,PI   ,CM5G6K682GE,12-07-18,1,N,12-03-18,770.82
91064,PI   ,AS6917527BC,12-07-18,1,Y,05/28/2018,17.65
90647,PI   ,WE0113Z40M1C,06/28/2017,12,U,06/28/2017,19.84
91123,PI   ,7M5R6C631AD,12-07-18,2,Y,11/23/2018,36.61
90715,PI   ,AV616F012AB,12-07-18,2,N,10-05-18,95.22
90148,PI   ,PUB305,12-07-18,2,N,10/31/2018,9.27
90770,PI   ,CN15A519A58DA34X1,04-03-18,1,Y,08-10-17,19
90647,PI   ,F33C3F656BA,06/29/2017,9,U,06/29/2017,5.52
90678,PI   ,XS7Q8575AA,06/30/2017,2,U,05-02-17,23.91
90678,PI   ,9XG041877L,06/30/2017,10,U,08/30/2016,5.15
90148,PI   ,2S6H8B274AG,12-07-18,1,N,11/29/2018,15.91
90715,PI   ,8V218B081BD,12-07-18,3,N,11/30/2018,9.98
90343,PI   ,2S6117618AE,12-07-18,1,N,09/18/2018,46.73
90770,PI   ,EB3T9E740EB3JA6,04-03-18,1,N,10/20/2017,56.71
91124,PI   ,BK216D315BA,12-07-18,1,Y,11/28/2018,39.21
90770,PI   ,AA6E6714AA,12-07-18,8,N,12-07-18,6.03
90678,PI   ,UH7134156,06/30/2017,2,U,01/26/2017,0.48
90678,PI   ,98AB1125BE,06/30/2017,2,U,03/29/2017,44.4
90715,PI   ,98MM6065AC,12-07-18,10,N,11/16/2018,3.07
90427,PI   ,AB3921020A26AE,12-07-18,3,N,12-03-18,2.74
90416,PI   ,SENEC015,06/27/2017,4,N,06/21/2017,45.84
90148,PI   ,BF500D0T4MC,12-07-18,23,N,12-06-18,2.8
90639,PI   ,AB3917528BC,12-07-18,10,N,11/28/2018,5.19
90678,PI   ,AB313069AB,06/30/2017,2,U,09/29/2015,15.29
91064,PI   ,W712650S417,12-07-18,8,N,11/15/2018,1.12
90678,PI   ,WL8413465,06/30/2017,1,U,03/30/2016,0.98
90148,PI   ,AB3921290D13AA5BMT,12-07-18,1,N,10/30/2018,6.58
91064,PI   ,W712097S300,12-07-18,1,N,10/26/2018,0.67
90257,PI   ,U019B012A,04-03-18,6,N,03/28/2018,18.12
91064,PI   ,DG9Z14526BA,12-07-18,1,Y,07/31/2018,3.22
91123,PI   ,F33C3F656BA,12-07-18,10,Y,08/30/2018,2.21
91123,PI   ,8V219601A1A,12-07-18,9,N,12-06-18,7.9
91123,PI   ,2M5C9155AC,12-07-18,2,N,11/16/2018,14.58
90715,PI   ,3M342K021BAMC,12-07-18,11,N,11/29/2018,28.57
91064,PI   ,FSA152700ECF,12-07-18,2,Y,12-12-17,38.47
90257,PI   ,AA5Z6714A,04-03-18,4,N,03-09-18,5.52
91064,PI   ,EB3B26613D60BA,12-07-18,2,N,11/19/2018,40.99
90343,PI   ,4C1Q8B555AB,12-07-18,1,N,10/18/2018,8.67
90678,PI   ,GS16,06/30/2017,20,U,12/23/2016,0.47
91080,PI   ,98MM6675FA,12-07-18,1,Y,07/23/2015,41.47
